"Name","Marke","Kollektion","Zielgruppe","Oberkategorie","Typ","Stoffart","Größe","Format","Status","Link","Bild","Notizen"
"American Beauty Dress","Gertie Patreon","Institute of Style","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","",""
"Anni Bodice","Gertie Patreon","Hollywood Icons","Damen","Oberteil","Top","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","",""
"Audrey Cigarette Pants","Gertie Patreon","","Damen","Unterteil","Hose","Jersey","2-20 / 18-34","PDF","Vorhanden","","",""
"Aurora Bodice","Gertie Patreon","Stanwyck Series","Damen","Oberteil","Top","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","",""
"Barbara Bodice","Gertie Patreon","Lamour Series","Damen","Oberteil","Top","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","",""
"Barbie Top","Gertie Patreon","","Damen","Oberteil","Top","Jersey","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","",""
"Bathing Beauty","Gertie Patreon","Hollywood Icons","Damen","Lingerie","Badeanzug","Jersey","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","",""
"Boardwalk Sundress","Gertie Patreon","","Damen","Kleid","Kleid","","","PDF","Vorhanden","","",""
"Brooklyn Jacket","Gertie Patreon","Charm Artist Collective","Damen","Oberteil","Jacke","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","",""
"Carousel Dress","Gertie Patreon","Charm Artist Collective","Damen","Kleid","Kleid","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","",""
"Charlotte Beret","Gertie Patreon","Charm Artist Collective","Damen","Accessoires","Mütze","Webware/Strick","S/M/L","PDF","Vorhanden","","",""
"Charm Sash","Gertie Patreon","","Damen","Accessoires","Gürtel","","","PDF","Vorhanden","","",""
"Charm School Uniform","Charm Patterns by Gertie","Charm School 2024","Damen","Kleid","Kleid","Webware","2–20 / 18–34","PDF","Vorhanden","","",""
"Charm Scout Capelet","Charm Patterns by Gertie","Camp Gertie 2021","Damen","Oberteil","Weste","Jacken-/Mantelstoffe","2–20","PDF","Vorhanden","","",""
"Chess Club Trousers","Gertie Patreon","Charm School","Damen","Unterteil","Hose","Stretch-Webware","2-20 / 18-34","PDF","Vorhanden","","",""
"Claudette Skirt","Gertie Patreon","Society of Charm","Damen","Unterteil","Rock","Jersey","2-20 / 18-34","PDF","Vorhanden","","",""
"Cobbler Dress and Set","Gertie Patreon","Camp Gertie","Damen","Kleid","Kleid","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","",""
"Dandridge Skirt","Gertie Patreon","Camp Gertie","Damen","Unterteil","Rock","Sonstiges","2-20 / 18-34","PDF","Vorhanden","","",""
"Dandy Waistcoat","Gertie Patreon","Charm Artist Collective","Unisex","Oberteil","Weste","Webware","XS-5XL","PDF","Vorhanden","","",""
"Drama Club Cape","Gertie Patreon","Charm School","Damen","Oberteil","Jacke","Jacken-/Mantelstoffe","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","",""
"Elizabeth Caftan","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Webware","2–20 / 18–34","PDF","Vorhanden","","",""
"Elsa Culottes","Gertie Patreon","Society of Charm","Damen","Unterteil","Hose","Webware","2–20 / 18–34","PDF","Vorhanden","","",""
"Extra Credit Wrap Top","Gertie Patreon","Charm School","Damen","Oberteil","Top","Jersey","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","",""
"Field Trip Backpack","Gertie Patreon","Charm School","Damen","Taschen","Rucksack","Webware","","PDF","Vorhanden","","",""
"Final Exam Blazer","Gertie Patreon","Charm School","Damen","Oberteil","Jacke","Jersey","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","",""
"Francie Top","Gertie Patreon","Society of Charm","Damen","Oberteil","Top","Jersey","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","",""
"Frenchy Peignoir","Gertie Patreon","Charm Artist Collective","Damen","Lingerie","Nachthemd","Sonstiges","2–20 / 18–34","PDF","Vorhanden","","",""
"Gardner Top","Gertie Patreon","Camp Gertie","Damen","Oberteil","Top","Spitze","2–20 (A-H Cup)","PDF","Vorhanden","","",""
"Gina Bustier","Gertie Patreon","Society of Charm","Damen","Lingerie","BH","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","",""
"Ginger Sailor Pants","Gertie Patreon","Charm Artist Collective","Damen","Unterteil","Hose","Webware","2–20 / 18–34","PDF","Vorhanden","","",""
"Grace Bodice","Gertie Patreon","Society of Charm","Damen","Oberteil","Top","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","",""
"Holly Bodice Backs","Charm Patterns by Gertie","Hollywood Icons 2025","Damen","Oberteil","Top","Webware","2–20 / 18–34","PDF","Vorhanden","","",""
"Hollywood Dress","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","",""
"Hollywood Robe","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","",""
"Homecoming Skirt","Gertie Patreon","Charm School","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","","",""
"Honor Roll Top","Gertie Patreon","Charm School","Damen","Oberteil","Top","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","",""
"Ingrid Skirt","Gertie Patreon","Stanwyck Series","Damen","Unterteil","Rock","Webware","2-20 / 18-34","PDF","Vorhanden","","",""
"Jane Set","Gertie Patreon","","Damen","Einteiler","Jumpsuit/Playsuit/Separates","Stretch-Webware","2-16 (B/C/D/DD Cup)","PDF","Vorhanden","","",""
"Jasmin Jumpsuit","Charm Patterns by Gertie","Charm Artist Collective 2022","Damen","Einteiler","Jumpsuit","Jersey","2–20 / 18–34","PDF","Vorhanden","","",""
"Jeanne Gloves","Charm Patterns by Gertie","Charm Artist Collective 2022","Damen","Accessoires","Handschuhe","Spitze","XS–XL","PDF","Vorhanden","","",""
"Joan Wiggle Dress","Charm Patterns by Gertie","Charm Artist Collective 2022","Damen","Kleid","Kleid","Jersey","2–20 / 18–34","PDF","Vorhanden","","",""
"Judy Vest","Gertie Patreon","Camp Gertie","Damen","Oberteil","Weste","Jersey (stabil)","2-20 / 18-34","PDF","Vorhanden","","",""
"Katharine Skirt","Charm Patterns by Gertie","Hollywood Icons 2025","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","","",""
"Katherine Skirt","Gertie Patreon","","Damen","Unterteil","Rock","","2-20 / 18-34","PDF","Vorhanden","","",""
"Lady Dandy Waistcoat","Gertie Patreon","Charm Artist Collective","Damen","Oberteil","Weste","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","",""
"Landis Bodice","Charm Patterns by Gertie","Camp Gertie 2021","Damen","Oberteil","Top","Webware","2–20 / 18–34","PDF","Vorhanden","","",""
"Las Vegas Halter Top","Gertie Patreon","Charm Artist Collective","Damen","Oberteil","Top","Webware (leicht bis mittelschwer), Kunstleder/Pleather","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","",""
"Lisa Bodice","Charm Patterns by Gertie","Hollywood Icons 2025","Damen","Oberteil","Top","Jersey","2–20 / 18–34","PDF","Vorhanden","","",""
"Lizabeth Raglan Top","Charm Patterns by Gertie","Charm Artist Collective 2022","Damen","Oberteil","Bluse","Webware","2–20 / 18–34","PDF","Vorhanden","","",""
"Lorelei Gown","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Jersey","2–20 / 18–34","PDF","Vorhanden","","",""
"Loretta Shorts","Charm Patterns by Gertie","Camp Gertie 2020","Damen","Unterteil","Shorts","Webware","2–20","PDF","Vorhanden","","",""
"Lucille Trousers","Gertie Patreon","Camp Gertie","Damen","Unterteil","Hose","Webware (leicht bis mittelschwer, mit Drape)","2-20 / 18-34","PDF","Vorhanden","","",""
"Make Do and Mend Dress Expansion","Gertie Patreon","Institute of Style","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","",""
"Make Do and Mend Overalls","Gertie Patreon","Institute of Style","Damen","Einteiler","Latzhose","Webware (leicht bis mittelschwer)","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","",""
"Maria Pencil Skirt","Charm Patterns by Gertie","Society of Charm 2023","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","","",""
"Mariner Top","Charm Patterns by Gertie","Camp Gertie 2021","Damen","Oberteil","Bluse","Webware","2–20 / 18–34","PDF","Vorhanden","","",""
"Marlene Blouse","Gertie Patreon","Hollywood Icons","Damen","Oberteil","Bluse","Webware (leicht)","2-20 / 18-34","PDF","Vorhanden","","",""
"Midge Breton Shirt","Gertie Patreon","","Damen","Oberteil","Shirt","","2-20 / 18-34","PDF","Vorhanden","","",""
"Midge Breton Top","Charm Patterns by Gertie","Charm Artist Collective 2022","Damen","Oberteil","Shirt","Jersey","2–20 / 18–34","PDF","Vorhanden","","",""
"Millicent Dress","Gertie Patreon","Lamour Series","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Millicent Skirt","Charm Patterns by Gertie","Society of Charm 2023","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","","",""
"MJC Holiday Skirt","Gertie Patreon","","Damen","Unterteil","Rock","","2-20 / 18-34","PDF","Vorhanden","","",""
"Modern June Cleaver Holiday Skirt","Charm Patterns by Gertie","Charm Artist Collective 2022","Damen","Unterteil","Rock","Sonstiges","","PDF","Vorhanden","","",""
"Niagara Bodice","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
