"Name","Marke","Kollektion","Zielgruppe","Oberkategorie","Typ","Stoffart","Größe","Format","Status","Link","Bild","Notizen","Modelskizze"
"The American Beauty Dress","Gertie Patreon","Institute of Style 2026","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/american-beauty-dress/","https://enibas-gh.github.io/Schnittmuster/bilder/American_Beauty_Dress.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/Americanbeauty-Skizze.jpg"
"Anni Bodice","Gertie Patreon","Hollywood Icons 2025","Damen","Oberteil","Top","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/anni-bodice/","https://enibas-gh.github.io/Schnittmuster/bilder/Anni-Bodice.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/AnniBodice_Skizze.jpg"
"Audrey Cigarette Pants","Gertie Patreon","Charm Artist Collective 2022","Damen","Unterteil","Hose","Jersey","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/audrey-cigarette-pants/","https://enibas-gh.github.io/Schnittmuster/bilder/Audrey_Cigarette_Pants.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/AudreyCigarettePants_Skizze.jpg"
"Aurora Bodice","Gertie Patreon","Society of Charm 2023","Damen","Oberteil","Top","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/aurora-bodice/","https://enibas-gh.github.io/Schnittmuster/bilder/Aurora_Bodice.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/AuroraBodice_Skizze.jpg"
"Barbara Bodice","Gertie Patreon","Society of Charm 2023","Damen","Oberteil","Top","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/barbara-bodice/","https://enibas-gh.github.io/Schnittmuster/bilder/Barbara_Bodice.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/BarbaraBodice_Skizze.jpg"
"Barbie Top","Gertie Patreon","Camp Gertie 2021","Damen","Oberteil","Top","Jersey","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/barbie-top/","https://enibas-gh.github.io/Schnittmuster/bilder/Barbie_Top.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/BarbieTop_Skizze.jpg"
"Bathing Beauty","Gertie Patreon","Hollywood Icons 2025","Damen","Lingerie","Badeanzug","Jersey","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/bathing-beauty-swimsuit/","https://enibas-gh.github.io/Schnittmuster/bilder/Bathing_Beauty_Swimsuit.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/BathingBeauty_Skizze.jpg"
"Boardwalk Sundress","Gertie Patreon","Charm School 2024","Damen","Kleid","Kleid","","","PDF","Vorhanden","https://charmpatterns.com/shop/boardwalk-sundress-and-patio-skirt/","https://enibas-gh.github.io/Schnittmuster/bilder/Boardwalk_Sundress.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/boardwalk-1024x706.png"
"Brooklyn Jacket","Gertie Patreon","Charm Artist Collective 2022","Damen","Oberteil","Jacke","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/brooklyn-jacket/","https://enibas-gh.github.io/Schnittmuster/bilder/Brooklyn_Jacket.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/BrooklynJacket_Skizze.jpg"
"Carousel Dress","Gertie Patreon","Charm Artist Collective 2022","Damen","Kleid","Kleid","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/carousel-dress/","https://enibas-gh.github.io/Schnittmuster/bilder/Carousel_Dress.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/Carousel-Dress-LA-1024x441.png"
"Charlotte Beret","Gertie Patreon","Charm Artist Collective 2022","Damen","Accessoires","Mütze","Webware/Strick","S/M/L","PDF","Vorhanden","https://charmpatterns.com/shop/charlotte-beret/","https://enibas-gh.github.io/Schnittmuster/bilder/charlotte-Beret.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/CharlotteBeret_Skizze.jpg"
"Charm School Uniform","Gertie Patreon","Charm School 2024","Damen","Kleid","Kleid","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/charm-school-uniform/","https://enibas-gh.github.io/Schnittmuster/bilder/Charm_School_Uniform.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/01_01-charm-uni-Jan-1st_d002-1024x419.png"
"Charm Scout Capelet","Gertie Patreon","Camp Gertie 2021","Damen","Oberteil","Weste","Jacken-/Mantelstoffe","2–20","PDF","Vorhanden","https://charmpatterns.com/shop/charm-scout-capelet/","https://charmpatterns.com/wp-content/uploads/2025/01/Charm-302-High-Res-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/CAMP-CAPELET-LA-1024x706.png"
"Chess Club Trousers","Gertie Patreon","Charm School 2024","Damen","Unterteil","Hose","Stretch-Webware","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/chess-club-trousers/","https://charmpatterns.com/wp-content/uploads/2025/01/HR_DSC_1223-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/ChessClubTrousers_Skizze.png"
"Claudette Skirt","Gertie Patreon","Society of Charm 2023","Damen","Unterteil","Rock","Jersey","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/claudette-skirt/","https://charmpatterns.com/wp-content/uploads/2025/01/01_ClaudetteSkirtOrange_016-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/ClaudetteSkirt_Skizze.jpg"
"Cobbler Dress and Set","Gertie Patreon","Camp Gertie 2021","Damen","Kleid","Kleid","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/cobbler-dress-top-and-capris/","https://charmpatterns.com/wp-content/uploads/2025/01/DSC_4097-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/Cobbler-1024x535.png"
"Dandridge Skirt","Gertie Patreon","Camp Gertie 2021","Damen","Unterteil","Rock","Sonstiges","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/dandridge-skirt/","https://charmpatterns.com/wp-content/uploads/2025/01/IMG_1968-IG-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/DandridgeSkirt_Skizze.jpg"
"Dandy Waistcoat","Gertie Patreon","Charm Artist Collective 2022","Unisex","Oberteil","Weste","Webware","XS-5XL","PDF","Vorhanden","https://charmpatterns.com/shop/dandy-waistcoat/","https://charmpatterns.com/wp-content/uploads/2025/01/dandy7-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/Dandy-Waistcoat-933x1024.png"
