"Name","Marke","Kollektion","Zielgruppe","Oberkategorie","Typ","Stoffart","Größe","Format","Status","Link","Bild","Notizen","Modelskizze"
"The American Beauty Dress","Gertie Patreon","Institute of Style","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/american-beauty-dress/","https://enibas-gh.github.io/Schnittmuster/bilder/American_Beauty_Dress.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/Americanbeauty-Skizze.jpg"
"Anni Bodice","Gertie Patreon","Hollywood Icons","Damen","Oberteil","Top","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/anni-bodice/","https://enibas-gh.github.io/Schnittmuster/bilder/Anni-Bodice.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/AnniBodice_Skizze.jpg"
"Audrey Cigarette Pants","Gertie Patreon","","Damen","Unterteil","Hose","Jersey","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/audrey-cigarette-pants/","https://enibas-gh.github.io/Schnittmuster/bilder/Audrey_Cigarette_Pants.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/AudreyCigarettePants_Skizze.jpg"
"Aurora Bodice","Gertie Patreon","Stanwyck Series","Damen","Oberteil","Top","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/aurora-bodice/","https://enibas-gh.github.io/Schnittmuster/bilder/Aurora_Bodice.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/AuroraBodice_Skizze.jpg"
"Barbara Bodice","Gertie Patreon","Lamour Series","Damen","Oberteil","Top","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/barbara-bodice/","https://enibas-gh.github.io/Schnittmuster/bilder/Barbara_Bodice.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/BarbaraBodice_Skizze.jpg"
"Barbie Top","Gertie Patreon","","Damen","Oberteil","Top","Jersey","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/barbie-top/","https://enibas-gh.github.io/Schnittmuster/bilder/Barbie_Top.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/BarbieTop_Skizze.jpg"
"Bathing Beauty","Gertie Patreon","Hollywood Icons","Damen","Lingerie","Badeanzug","Jersey","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/bathing-beauty-swimsuit/","https://enibas-gh.github.io/Schnittmuster/bilder/Bathing_Beauty_Swimsuit.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/BathingBeauty_Skizze.jpg"
"Boardwalk Sundress","Gertie Patreon","","Damen","Kleid","Kleid","","","PDF","Vorhanden","https://charmpatterns.com/shop/boardwalk-sundress-and-patio-skirt/","https://enibas-gh.github.io/Schnittmuster/bilder/Boardwalk_Sundress.jpg","",""
"Brooklyn Jacket","Gertie Patreon","Charm Artist Collective","Damen","Oberteil","Jacke","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/brooklyn-jacket/","https://enibas-gh.github.io/Schnittmuster/bilder/Brooklyn_Jacket.jpg","",""
"Carousel Dress","Gertie Patreon","Charm Artist Collective","Damen","Kleid","Kleid","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/carousel-dress/","https://enibas-gh.github.io/Schnittmuster/bilder/Carousel_Dress.jpg","",""
"Charlotte Beret","Gertie Patreon","Charm Artist Collective","Damen","Accessoires","Mütze","Webware/Strick","S/M/L","PDF","Vorhanden","https://charmpatterns.com/shop/charlotte-beret/","","",""
"Charm School Uniform","Gertie Patreon","Charm School 2024","Damen","Kleid","Kleid","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/charm-school-uniform/","https://enibas-gh.github.io/Schnittmuster/bilder/Charm_School_Uniform.jpg","",""
"Charm Scout Capelet","Gertie Patreon","Camp Gertie 2021","Damen","Oberteil","Weste","Jacken-/Mantelstoffe","2–20","PDF","Vorhanden","https://charmpatterns.com/shop/charm-scout-capelet/","","",""
"Chess Club Trousers","Gertie Patreon","Charm School","Damen","Unterteil","Hose","Stretch-Webware","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/chess-club-trousers/","","",""
"Claudette Skirt","Gertie Patreon","Society of Charm","Damen","Unterteil","Rock","Jersey","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/claudette-skirt/","","",""
"Cobbler Dress and Set","Gertie Patreon","Camp Gertie","Damen","Kleid","Kleid","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/cobbler-dress-top-and-capris/","","",""
"Dandridge Skirt","Gertie Patreon","Camp Gertie","Damen","Unterteil","Rock","Sonstiges","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/dandridge-skirt/","","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/DandridgeSkirt_Skizze.jpg"
"Dandy Waistcoat","Gertie Patreon","Charm Artist Collective","Unisex","Oberteil","Weste","Webware","XS-5XL","PDF","Vorhanden","https://charmpatterns.com/shop/dandy-waistcoat/","","",""
"Drama Club Cape","Gertie Patreon","Charm School","Damen","Oberteil","Jacke","Jacken-/Mantelstoffe","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/drama-club-cape/","","",""
"Elizabeth Caftan","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/elizabeth-caftan/","","",""
"Elsa Culottes","Gertie Patreon","Society of Charm","Damen","Unterteil","Hose","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/elsa-culottes/","","",""
"Extra Credit Wrap Top","Gertie Patreon","Charm School","Damen","Oberteil","Top","Jersey","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/extra-credit-wrap-top/","https://enibas-gh.github.io/Schnittmuster/bilder/Extra-Credit_Wrap_Top_.jpg","",""
